id_cliente,idade,renda_anual,divida_atual,historico_pagamento,score_externo,inadimplente
141,25,57156.34,1808.02,58,0.697,0
142,41,275496.67,15156.42,86,0.753,0
143,80,299617.94,13155.63,7,0.465,0
144,28,376538.14,18006.82,81,0.874,0
145,68,224354.88,4382.14,11,0.203,0
146,34,76876.45,46847.89,30,0.127,1
147,25,152631.31,27690.11,77,0.286,0
148,52,191094.91,15276.22,33,0.532,0
149,52,328269.86,19849.08,81,0.511,0
150,50,291827.48,22360.13,97,0.821,0
151,76,187706.91,30029.72,74,0.405,0
152,22,493459.9,25783.97,75,0.484,0
153,59,308800.79,45969.6,48,0.013,1
154,56,130054.99,24848.17,78,0.41,0
155,75,64364.5,49607.9,56,0.648,1
156,58,89136.68,42571.25,94,0.016,1
157,45,134289.5,10425.53,92,0.281,0
158,24,92930.47,46529.76,25,0.208,1
159,26,105485.01,5818.32,17,0.042,0
160,25,153271.16,40872.49,95,0.479,0
161,29,99086.19,19031.16,85,0.182,0
162,51,449931.23,43898.72,37,0.743,0
163,50,53913.37,43402.83,80,0.848,0
164,65,269388.02,40296.27,86,0.546,0
165,72,214042.46,39501.52,87,0.982,0
166,40,491453.63,15233.96,49,0.45,0
167,79,69338.87,4045.96,7,0.513,0
168,41,207959.97,20149.01,40,0.989,0
169,54,485193.16,8676.23,5,0.232,0
170,52,434770.96,34747.55,68,0.943,0
171,61,411279.95,17304.99,43,0.043,0
172,57,140082.87,48780.51,63,0.446,1
173,39,97880.48,32048.6,28,0.07,1
174,44,339291.96,41124.03,27,0.729,0
175,52,465747.35,6626.23,10,0.608,0
176,18,285030.0,43100.72,64,0.707,0
177,52,292232.15,46137.86,18,0.374,1
178,54,150789.86,24353.1,8,0.369,1
179,64,388204.07,30312.65,26,0.045,0
180,31,105716.22,38240.49,33,0.35,1
181,20,171984.43,8741.93,43,0.929,0
182,18,221336.67,25128.3,67,0.379,0
183,22,261191.03,19933.15,99,0.831,0
184,43,132568.72,7318.7,81,0.842,0
185,72,70695.86,18376.72,14,0.373,1
186,80,311150.72,3408.62,50,0.632,0
187,31,154985.82,1290.6,12,0.095,0
188,56,296900.54,6758.31,82,0.104,0
189,44,89865.92,48155.76,48,0.049,1
190,26,248352.95,27476.48,69,0.581,0
191,32,273305.87,48291.11,55,0.426,0
192,32,40134.42,21624.89,75,0.548,0
193,43,178253.07,15590.81,50,0.521,0
194,59,80191.12,25307.09,36,0.35,1
195,77,45736.86,21975.58,16,0.677,1
196,30,495130.71,5283.23,57,0.759,0
197,68,171341.61,32041.32,86,0.015,0
198,80,407789.11,10801.91,89,0.207,0
199,49,138500.72,30979.4,28,0.713,0
200,56,345528.82,32510.05,32,0.387,0
201,66,383710.51,7601.24,59,0.662,0
202,69,303884.79,3067.48,90,0.347,0
203,78,243714.45,39038.08,88,0.391,0
204,49,214742.84,22990.02,54,0.159,0
205,21,184201.11,2908.19,9,0.258,0
206,47,465821.63,49743.32,46,0.605,0
207,54,417850.41,2889.03,22,0.433,0
208,40,483038.05,34751.76,84,0.774,0
209,56,75284.15,49183.95,20,0.853,1
210,62,369470.73,11959.01,12,0.542,0
211,32,470095.12,7112.47,100,0.758,0
212,60,102898.04,6069.25,32,0.307,0
213,46,47250.69,15163.76,23,0.415,0
214,53,374443.51,5052.29,10,0.713,0
215,30,293619.46,34608.07,16,0.386,0
216,49,423286.96,3114.59,67,0.589,0
217,24,82789.6,25471.11,46,0.185,1
218,76,400704.65,49834.84,24,0.6,0
219,68,112789.25,40698.51,93,0.862,0
220,39,94373.13,30760.97,72,0.869,0
221,45,94668.91,15312.68,20,0.724,0
222,19,410068.74,31194.79,83,0.746,0
223,59,337620.65,26352.07,82,0.558,0
224,62,268686.73,21304.17,82,0.585,0
225,79,189032.78,6535.52,11,0.134,0
226,74,440442.26,44330.21,36,0.444,0
227,70,205335.88,22489.23,41,0.451,0
228,23,411050.73,9731.13,16,0.958,0
229,45,227980.43,18387.97,100,0.431,0
230,45,197818.05,20706.49,47,0.549,0
231,61,239399.7,41376.89,27,0.533,1
232,61,161168.27,36680.72,40,0.637,0
233,37,377590.55,38465.24,98,0.748,0
234,47,258819.39,551.56,46,0.225,0
235,79,127623.16,20807.7,17,0.529,0
236,28,451293.67,24067.21,77,0.826,0
237,75,201187.24,959.61,98,0.463,0
238,72,278623.14,12990.66,70,0.278,0
239,45,454638.97,38014.49,12,0.655,0
240,42,317755.43,6855.49,81,0.824,0
241,56,71695.55,26765.51,100,0.063,0
242,79,470818.58,10760.09,12,0.777,0
243,50,319438.41,606.04,99,0.822,0
244,18,177429.22,12060.07,30,0.462,0
245,74,82546.96,48793.69,1,0.983,1
246,44,400102.22,40076.86,15,0.787,0
247,79,315735.29,47978.83,8,0.774,0
248,74,273728.63,24392.7,72,0.748,0
249,69,448537.9,5486.81,37,0.151,0
250,30,397469.65,27397.97,74,0.217,0
251,58,88562.32,22718.87,53,0.464,0
252,20,166185.2,42217.85,55,0.264,1
253,56,135517.23,4904.13,85,0.415,0
254,23,375813.95,24412.06,96,0.888,0
255,25,31263.23,7502.43,99,0.824,0
256,44,291396.5,16233.8,86,0.63,0
257,26,384792.46,36867.85,44,0.858,0
258,79,440231.33,23800.91,33,0.784,0
259,54,180909.65,18794.41,8,0.429,0
260,50,413309.79,19723.81,87,0.201,0
261,68,68656.39,22972.34,7,0.514,1
262,59,425529.36,39250.83,6,0.736,0
263,61,76832.0,44604.23,35,0.436,1
264,41,207684.34,47766.73,17,0.667,1
265,32,401688.25,39345.17,2,0.094,1
266,76,87709.95,15770.34,27,0.748,0
267,71,126186.93,34406.74,69,0.813,0
268,49,365292.5,21880.16,43,0.707,0
269,49,364217.72,12733.53,20,0.967,0
270,41,325956.6,42043.58,27,0.827,0
271,58,351565.0,1921.32,53,0.903,0
272,69,278221.36,45088.1,53,0.934,0
273,66,137122.54,23073.87,64,0.801,0
274,79,182662.56,31860.07,99,0.674,0
275,66,103074.89,32967.7,20,0.006,1
276,75,455598.52,44755.89,98,0.466,0
277,69,297945.02,31833.48,12,0.571,0
278,29,209412.94,30696.68,56,0.304,0
279,79,239072.81,3332.6,48,0.318,0
280,56,474432.42,25920.4,53,0.961,0
281,19,89375.43,7508.45,9,0.892,0
282,20,299321.47,36871.69,52,0.849,0
283,66,260356.01,25611.1,43,0.406,0
284,54,311555.3,34011.39,46,0.014,0
285,66,23783.44,2083.65,52,0.08,0
286,73,437980.1,4239.6,73,0.312,0
287,34,467077.37,35816.17,45,0.016,0
288,76,289089.59,3604.22,12,0.017,0
289,66,352875.65,3562.84,36,0.917,0
290,19,462412.2,605.42,23,0.706,0
291,19,358010.74,47825.07,1,0.309,1
292,45,88981.44,36875.42,85,0.133,1
293,71,294499.85,17662.57,80,0.512,0
294,40,309256.8,14826.78,99,0.005,0
295,54,220703.38,17485.16,13,0.938,0
296,49,372175.45,38732.68,9,0.415,0
297,50,468168.0,33068.53,34,0.402,0
298,18,463900.73,9259.78,24,0.391,0
299,36,233657.1,8705.47,2,0.069,0
300,79,69920.45,4919.78,16,0.638,0
301,19,492647.98,33015.14,11,0.733,0
302,70,421865.57,38218.63,53,0.676,0
303,61,75461.4,13252.32,23,0.138,1
304,43,461608.31,1047.25,28,0.579,0
305,49,436899.74,4108.58,42,0.569,0
306,23,266636.46,48393.0,24,0.868,0
307,49,301768.59,14772.24,99,0.379,0
308,72,208516.31,38461.16,59,0.371,0
309,21,41559.39,31233.18,89,0.619,0
310,72,177570.66,19096.98,64,0.633,0
311,28,404383.92,10284.36,83,0.469,0
312,73,17246.53,6069.32,27,0.443,0
313,76,176747.1,30750.65,15,0.494,1
314,34,208111.82,38731.69,46,0.861,0
315,80,275636.87,32195.21,80,0.461,0
316,55,461129.97,26515.11,91,0.94,0
317,41,182977.81,2097.56,57,0.504,0
318,22,183272.3,48424.44,75,0.949,0
319,69,372688.11,39935.71,26,0.833,0
320,51,234325.7,14641.1,52,0.362,0
321,23,123933.34,48998.52,41,0.864,1
322,39,234433.17,30094.08,58,0.11,0
323,28,83315.65,29121.13,46,0.925,0
324,80,100547.69,37403.66,93,0.632,0
325,65,256708.37,40588.49,33,0.054,1
326,33,218178.84,32823.93,36,0.644,0
327,50,458700.26,6404.79,5,0.974,0
328,26,190761.04,16913.38,6,0.07,1
329,77,296585.35,46404.18,95,0.555,0
330,76,321648.18,11230.78,95,0.748,0
331,23,21350.81,18608.35,24,0.81,0
332,33,336815.63,21603.84,32,0.414,0
333,46,101347.44,21970.25,54,0.204,0
334,20,481119.1,30646.98,57,0.042,0
335,37,87101.42,47153.79,6,0.58,1
336,77,216092.7,12034.64,56,0.453,0
337,76,56394.59,6075.07,11,0.949,0
338,53,498484.01,9873.52,15,0.061,0
339,36,258564.58,44346.25,79,0.685,0
340,43,303761.73,32290.54,42,0.025,0
341,20,47532.09,14295.34,99,0.171,0
342,80,378730.83,40797.35,76,0.454,0
343,36,116804.21,43068.5,6,0.455,1
344,37,450556.33,42325.72,99,0.686,0
345,49,114492.73,45946.33,50,0.91,0
346,24,107483.54,12612.05,72,0.639,0
347,69,32726.59,37752.1,31,0.954,1
348,58,243952.47,23026.97,74,0.882,0
349,50,288947.95,42099.93,7,0.584,1
350,57,46868.69,36424.53,96,0.834,0
351,56,391130.89,38822.37,86,0.643,0
352,35,234845.08,32808.09,88,0.079,0
353,57,269329.28,8871.44,71,0.741,0
354,18,228769.93,27251.35,44,0.095,0
355,28,209370.08,49233.49,85,0.594,0
356,45,286425.56,46869.4,58,0.703,0
357,74,90291.52,2158.69,3,0.067,1
358,42,103235.14,8240.74,66,0.231,0
359,67,432966.03,6586.44,28,0.916,0
360,40,473866.0,36299.0,28,0.616,0
361,48,196055.02,40889.27,97,0.246,0
362,47,146311.17,10675.57,97,0.691,0
363,59,327339.78,25292.63,27,0.597,0
364,52,213236.07,42035.15,76,0.502,0
365,24,27312.38,36640.08,78,0.976,0
366,77,90734.01,27111.86,86,0.683,0
367,33,362246.53,29517.38,43,0.375,0
368,43,334578.11,25418.03,89,0.8,0
369,65,28141.56,14877.42,3,0.885,0
370,74,122656.5,28251.1,89,0.125,0
371,69,127071.28,34444.27,8,0.201,1
372,77,340867.98,43666.15,4,0.216,1
373,66,24559.61,31814.57,55,0.691,0
374,19,65492.66,38056.08,95,0.603,0
375,18,402959.3,8003.58,83,0.619,0
376,65,101594.16,23077.87,49,0.941,0
377,79,331581.86,466.58,74,0.776,0
378,29,130518.65,12333.94,14,0.128,1
379,22,63229.08,36323.09,31,0.348,1
380,54,132938.51,49590.5,27,0.435,1
381,49,365299.46,4958.9,21,0.396,0
382,76,430012.79,20074.72,16,0.669,0
383,72,417656.63,40003.55,58,0.892,0
384,26,207634.01,10201.78,89,0.306,0
385,58,339021.29,27754.25,70,0.552,0
386,52,114417.38,36653.56,56,0.789,0
387,36,157176.65,30799.27,25,0.416,1
388,65,449722.87,9401.24,24,0.168,0
389,33,21305.93,17769.23,9,0.475,1
390,20,56471.64,39189.59,44,0.055,1
391,37,115824.83,27711.33,82,0.942,0
392,41,27868.12,261.48,10,0.075,1
393,71,102996.19,38049.54,76,0.438,0
394,73,297775.16,1765.57,52,0.53,0
395,50,219390.91,37286.69,71,0.985,0
396,41,447945.78,10124.03,67,0.166,0
397,69,411460.13,47903.67,94,0.114,0
398,28,180781.42,18397.04,27,0.009,1
399,66,140820.37,16346.58,74,0.156,0
400,25,199150.82,7444.4,64,0.207,0
401,53,301293.05,15280.21,48,0.631,0
402,55,145010.87,43832.54,46,0.22,1
403,57,317712.22,49816.72,51,0.021,1
404,37,213564.65,18415.48,87,0.827,0
405,79,282742.88,22430.53,53,0.366,0
406,52,226521.37,36103.55,59,0.354,0
407,65,157815.89,44309.79,56,0.302,1
408,79,474999.85,29652.22,46,0.975,0
409,42,385348.81,19576.28,30,0.17,0
410,52,82954.89,20631.09,45,0.898,0
411,42,436206.97,34780.91,25,0.777,0
412,46,251404.13,160.91,4,0.076,0
413,35,448857.83,30979.47,83,0.987,0
414,63,402929.8,17774.65,51,0.271,0
415,35,221228.55,39709.87,74,0.099,1
416,19,25897.61,4649.53,53,0.829,0
417,71,145308.52,29410.11,32,0.707,0
418,52,277692.59,24048.64,49,0.617,0
419,33,322236.94,32116.28,37,0.156,0
420,78,140075.53,3242.68,26,0.478,0
421,58,82587.7,28999.19,97,0.781,0
422,53,419941.16,28074.23,14,0.304,0
423,50,492435.06,28033.0,95,0.312,0
424,21,269959.74,30174.38,60,0.003,0
425,50,98264.45,33823.4,20,0.174,1
426,31,147069.05,40249.45,45,0.875,0
427,38,23919.48,13491.04,68,0.442,0
428,65,458434.92,41252.47,5,0.984,0
429,37,72109.28,24912.78,37,0.396,1
430,73,294610.49,3852.91,61,0.715,0
431,25,147916.78,2927.55,85,0.282,0
432,24,283776.33,16711.92,61,0.364,0
433,20,330938.89,39244.85,81,0.191,0
434,34,417424.77,35384.05,77,0.347,0
435,50,115114.32,39430.75,73,0.547,0
436,65,20332.98,25863.45,45,0.992,0
437,29,81389.53,22009.95,12,0.664,0
438,76,451509.04,7372.63,94,0.199,0
439,68,438836.69,16409.64,93,0.045,0
440,39,304745.35,21700.97,2,0.126,0
441,72,306250.68,4430.02,93,0.563,0
442,39,337542.79,11030.6,5,0.765,0
443,63,100055.07,29911.26,92,0.94,0
444,47,458489.79,36783.16,7,0.016,0
445,55,218103.7,49917.38,43,0.523,1
446,55,200822.19,46655.67,32,0.471,1
447,62,266675.09,32128.26,80,0.656,0
448,68,37778.49,21062.4,74,0.56,0
449,71,95647.43,31808.87,76,0.687,0
450,25,372946.3,39282.58,49,0.658,0
451,44,55157.35,5916.81,10,0.117,1
452,44,307528.77,20495.24,94,0.8,0
453,51,133994.32,41990.11,27,0.123,1
454,38,203808.37,19191.65,69,0.699,0
455,47,155016.46,28593.61,40,0.416,0
456,50,187501.27,29388.47,15,0.514,0
457,45,363737.26,9223.81,67,0.903,0
458,64,159104.03,18111.77,98,0.89,0
459,50,289706.25,16725.56,47,0.818,0
460,22,245884.45,1309.84,55,0.51,0
461,77,336880.52,1209.59,63,0.736,0
462,78,469362.42,41584.85,58,0.513,0
463,65,370297.47,13653.54,89,0.87,0
464,36,119246.08,25903.94,61,0.403,0
465,21,30123.82,14936.28,75,0.97,0
466,52,142198.06,47033.96,10,0.932,1
467,66,303612.8,12964.84,100,0.742,0
468,34,39941.52,21482.84,88,0.279,0
469,61,255737.63,43636.51,17,0.132,1
470,45,304468.78,42096.68,18,0.855,0
471,47,177108.29,9305.07,86,0.165,0
472,46,388892.42,40132.17,54,0.854,0
473,63,66700.15,22909.34,81,0.491,0
474,70,51441.82,24148.44,25,0.407,1
475,23,368171.55,6674.0,5,0.903,0
476,52,255313.29,4030.08,3,0.604,0
477,77,348875.16,36396.97,28,0.577,0
478,58,225891.26,24823.06,58,0.559,0
479,54,134504.99,21842.54,97,0.371,0
480,41,412264.62,36475.41,16,0.786,0
481,46,402716.7,38275.64,42,0.253,0
482,66,351927.79,7945.41,79,0.939,0
483,63,146990.39,30511.26,65,0.894,0
484,70,301261.87,6767.7,33,0.337,0
485,48,190072.34,37568.75,7,0.729,1
486,52,59417.31,32847.76,12,0.573,1
487,77,459897.08,47830.73,7,0.338,0
488,50,81357.04,3447.9,93,0.989,0
489,69,475865.12,2852.74,95,0.025,0
490,80,231312.8,14109.35,99,0.253,0
491,78,104789.47,13085.28,93,0.52,0
492,38,277821.96,12348.94,64,0.522,0
493,49,438378.73,45312.73,42,0.589,0
494,40,370129.07,12477.31,38,0.752,0
495,50,406182.16,13597.49,80,0.623,0
496,20,334509.93,37969.91,58,0.6,0
497,35,350754.13,22486.99,83,0.054,0
498,42,426859.89,38835.53,87,0.377,0
499,59,136088.98,3268.31,85,0.232,0
500,48,252371.11,24378.56,92,0.265,0
501,71,122286.58,1680.68,85,0.554,0
502,75,494018.98,3132.66,43,0.2,0
503,20,472868.78,45321.87,8,0.294,0
504,57,34122.0,6962.27,36,0.237,0
505,63,357203.96,26621.03,73,0.949,0
506,41,463745.43,20554.78,35,0.945,0
507,67,102579.04,17367.17,100,0.61,0
508,49,290453.44,44991.67,91,0.925,0
509,64,459011.82,1091.17,27,0.786,0
510,39,31463.8,33189.48,41,0.59,1
511,40,353248.83,48169.72,42,0.006,1
512,19,159214.27,28008.41,84,0.773,0
513,80,463332.15,46841.12,87,0.702,0
514,44,485963.25,2612.89,41,0.615,0
515,59,472969.25,20939.67,65,0.76,0
516,19,244993.9,13007.89,54,0.513,0
517,43,433090.69,36541.05,71,0.704,0
518,34,424606.46,49064.85,47,0.935,0
519,57,169763.73,12826.5,90,0.376,0
520,50,417024.0,32708.73,21,0.708,0
521,26,32948.7,9904.88,100,0.476,0
522,60,304190.89,28266.51,26,0.674,0
523,71,126554.29,23196.62,92,0.763,0
524,65,73474.94,48600.27,66,0.045,1
525,56,52322.3,30426.36,12,0.647,1
526,46,352700.06,17475.32,44,0.227,0
527,59,179839.36,5704.79,9,0.67,0
528,72,366511.88,7562.34,99,0.468,0
529,43,46697.83,11265.85,8,0.774,0
530,52,167915.81,12548.33,53,0.123,0
531,67,276653.28,42530.8,26,0.626,0
532,42,398500.73,28061.14,33,0.278,0
533,41,169594.96,26169.55,0,0.853,0
534,30,318557.32,5738.44,31,0.928,0
535,77,444699.21,43006.98,88,0.996,0
536,75,313693.65,36140.72,92,0.796,0
537,24,127985.35,3383.42,70,0.754,0
538,74,26834.38,35391.75,66,0.216,1
539,53,436997.95,27176.91,83,0.336,0
540,62,25315.66,4086.27,19,0.466,0
541,37,439230.31,22915.03,93,0.773,0
542,18,271534.51,24234.81,34,0.915,0
543,25,470447.83,8288.73,98,0.189,0
544,63,402409.87,47284.91,90,0.922,0
545,33,498998.04,42498.77,89,0.696,0
546,31,185095.23,33451.12,77,0.611,0
547,29,387086.32,23114.78,16,0.2,0
548,68,209936.49,20588.28,17,0.056,1
549,40,247739.68,32548.67,44,0.568,0
550,32,319340.15,27271.59,92,0.652,0
551,45,438733.4,3113.66,83,0.211,0
552,51,492280.48,25625.13,52,0.556,0
553,19,387612.61,40320.18,90,0.856,0
554,49,217616.89,22961.99,81,0.835,0
555,40,219358.15,2597.83,67,0.927,0
556,80,372727.42,39313.91,64,0.366,0
557,39,130806.92,10068.19,0,0.318,0
558,68,68579.94,12931.04,57,0.749,0
559,42,186991.75,8235.32,25,0.431,0
560,75,154310.91,16510.75,19,0.088,1
561,80,158709.44,37837.58,86,0.283,0
562,79,128299.76,25969.29,9,0.419,1
563,78,35415.2,10244.06,58,0.293,0
564,39,23668.86,43891.5,74,0.332,1
565,75,494045.36,43979.09,40,0.294,0
566,75,222469.97,43528.92,4,0.041,1
567,39,201398.42,11939.81,64,0.637,0
568,66,344628.93,22561.97,16,0.597,0
569,69,120853.14,49249.48,21,0.653,1
570,59,475731.17,38600.62,97,0.192,0
571,23,396377.33,1358.37,40,0.296,0
572,32,58364.34,3260.23,92,0.62,0
573,71,217526.68,23196.57,67,0.6,0
574,60,441372.38,45461.01,68,0.506,0
575,77,473195.03,26935.09,10,0.35,0
576,54,241689.73,24890.63,55,0.913,0
577,50,312504.52,5273.68,50,0.34,0
578,25,96011.46,32839.01,20,0.456,1
579,70,495716.78,41105.16,98,0.678,0
580,77,127360.78,19021.0,75,0.543,0
581,61,472224.91,38780.59,25,0.347,0
582,61,330078.62,48223.83,18,0.436,1
583,22,309752.35,10188.32,59,0.794,0
584,56,263653.93,26166.48,70,0.278,0
585,21,126874.86,14356.9,46,0.142,0
586,23,100616.1,39642.72,70,0.313,1
587,62,121935.81,28879.67,25,0.85,0
588,49,105422.56,31729.12,39,0.089,1
589,69,393098.47,39895.71,4,0.992,0
590,47,184810.75,19798.52,20,0.541,0
591,64,43053.7,45754.5,77,0.985,0
592,52,485014.78,26651.44,3,0.939,0
593,72,443636.15,7897.74,22,0.453,0
594,57,464959.86,34794.96,83,0.198,0
595,69,497530.29,39663.07,14,0.165,0
596,33,99339.2,15838.08,92,0.24,0
597,30,207177.38,42858.96,7,0.71,1
598,67,382745.66,45307.16,40,0.273,0
599,77,352570.0,13845.22,18,0.341,0
600,59,89639.51,49176.07,45,0.449,1
601,47,410679.07,7035.58,27,0.913,0
602,36,123853.68,10100.78,90,0.189,0
603,34,123551.54,9211.24,67,0.005,0
604,73,275432.6,44699.49,14,0.06,1
605,80,302575.87,32714.63,98,0.905,0
606,36,296341.81,7605.21,36,0.648,0
607,45,59371.12,22016.17,0,0.273,1
608,75,440568.52,30764.9,66,0.177,0
609,72,143816.02,4173.2,23,0.294,0
610,43,77814.74,44120.82,26,0.115,1
611,54,446042.82,40180.18,39,0.942,0
612,43,478490.98,25260.34,62,0.784,0
613,70,433131.89,48356.33,60,0.462,0
614,79,407615.3,20888.05,35,0.865,0
615,40,332792.36,49205.52,97,0.249,0
616,80,282165.82,33396.0,92,0.717,0
617,26,57188.58,31733.56,23,0.856,1
618,29,213099.81,8297.74,23,0.357,0
619,70,195753.93,44096.39,3,0.757,1
620,18,140980.59,21374.48,66,0.295,0
621,75,365858.76,8111.67,33,0.299,0
622,75,255499.73,630.38,56,0.107,0
623,18,54307.41,27987.78,48,0.44,1
624,64,121788.85,26369.98,86,0.73,0
625,51,346380.5,35967.68,52,0.94,0
626,49,51923.47,44512.9,22,0.604,1
627,79,427835.35,3970.33,68,0.863,0
628,71,255146.07,36574.82,94,0.822,0
629,65,248084.49,9370.6,52,0.173,0
630,42,302317.78,42908.85,61,0.486,0
631,57,414970.27,40953.18,40,0.117,0
632,62,183687.47,27039.69,56,0.682,0
633,70,343837.83,35512.14,59,0.95,0
